time	opcode			A					B					Result			Zero
VCD info: dumpfile alu.vcd opened for output.
 0	0000	00000000000000000000000000000100	00000000000000000000000000000101	00000000000000000000000000001001	0
 1	0010	00000000000000000000000000000100	00000000000000000000000000000101	11111111111111111111111111111111	0
 2	0100	00000000000000000000000000000100	00000000000000000000000000000101	00000000000000000000000000000100	0
 3	0101	00000000000000000000000000000100	00000000000000000000000000000101	00000000000000000000000000000101	0
 4	0110	00000000000000000000000000000100	00000000000000000000000000000101	00000000000000000000000000000001	0
 5	0111	00000000000000000000000000000100	00000000000000000000000000000101	11111111111111111111111111111010	0
 6	1010	00000000000000000000000000000100	00000000000000000000000000000101	11111111111111111111111111111111	0
 7	1111	00000000000000000000000000000100	00000000000000000000000000000101	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	0
 8	0000	00000000000000000000000000000101	00000000000000000000000000000100	00000000000000000000000000001001	0
 9	0010	00000000000000000000000000000101	00000000000000000000000000000100	00000000000000000000000000000001	0
10	0100	00000000000000000000000000000101	00000000000000000000000000000100	00000000000000000000000000000100	0
11	0101	00000000000000000000000000000101	00000000000000000000000000000100	00000000000000000000000000000101	0
12	0110	00000000000000000000000000000101	00000000000000000000000000000100	00000000000000000000000000000001	0
13	0111	00000000000000000000000000000101	00000000000000000000000000000100	11111111111111111111111111111010	0
14	1010	00000000000000000000000000000101	00000000000000000000000000000100	00000000000000000000000000000000	1
15	1111	00000000000000000000000000000101	00000000000000000000000000000100	xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	0

